DATASET_MULTIBAR
SEPARATOR TAB
DATASET_LABEL	Taxa barchart2
COLOR	#00FF00
FIELD_COLORS	#a6cee3	#cab2d6	#1f78b4	#33a02c	#6a3d9a	#b2df8a	#fb9a99	#e31a1c	#ff7f00
FIELD_LABELS	Proteobacteria	Planctomycetota	Verrucomicrobiota	Firmicutes	Actinobacteriota	Desulfobacterota	Bacteroidota	Cyanobacteria	Fusobacteriota
LEGEND_TITLE	Dataset legend
LEGEND_SHAPES	1	1	1	1	1	1	1	1	1
LEGEND_COLORS	#a6cee3	#cab2d6	#1f78b4	#33a02c	#6a3d9a	#b2df8a	#fb9a99	#e31a1c	#ff7f00
LEGEND_LABELS	Proteobacteria	Planctomycetota	Verrucomicrobiota	Firmicutes	Actinobacteriota	Desulfobacterota	Bacteroidota	Cyanobacteria	Fusobacteriota
MARGIN	0
WIDTH	200
DATA
Sander_lucioperca	130	0	0	20503	0	0	0	0	0
Turdus_merula	17067	0	448	27945	666	214	9764	0	196
Ciconia_ciconia	1962	0	0	66829	23	0	0	0	0
Corvus_frugilegus	14690	68	4	1790	938	0	145	0	11
Macropus_fuliginosus	10991	143	11797	133875	1980	285	21098	462	32
Vespadelus_baverstocki	5565	3	2	41438	394	82	52	0	12
Phascolarctos_cinereus	73413	379	23	33978	1380	2699	16691	1860	0
Chrysococcyx_basalis	520	0	18374	17368	2763	5	17293	27	0
Martes_foina	2114	0	0	6105	0	0	0	0	0
Lepus_europaeus	2254	0	7444	217331	1919	3398	194838	637	40
Anser_anser	6026	0	0	61127	485	0	324	0	32
Blicca_bjoerkna	104137	407	1336	9457	983	199	357	125	21511
Halichoerus_grypus	7396	4	12	31711	114	0	31	0	66567
Phoca_vitulina	613	0	0	53792	357	0	462	0	15
Mesoplodon_bidens	10987	0	0	64755	0	0	4	0	0
Lagenorhynchus_albirostris	44912	0	0	49804	10	0	9	0	32461
Bufo_viridis	2321	0	0	9192	161	0	255	0	86
Rana_dalmatina	20809	0	0	9063	280	3	818	25	11
Odocoileus_virginianus	220	55	2065	40613	375	0	21237	56	0
Philander_opossum	407	0	4	7465	21	148	56885	4	3
Heteromys_desmarestianus	533	0	8	20465	66	266	24992	9	0
Martes_martes	5252	0	0	2013	2	0	3	0	122
Spermophilus_citellus	1155	0	2321	282943	2985	28	52444	2847	54
Crocodylus_moreletii	4315	0	5	60670	9	3	33074	0	52510
Acrocephalus_scirpaceus	571	0	3	34233	894	0	83	7	68
Papio_ursinus	992	0	1473	127555	95	268	16011	1500	6
Crocodylus_niloticus	32814	3	122	50412	124	56	3209	43	6817
Aepyceros_melampus	2921	208	575	247027	684	77	6094	262	16
Panthera_pardus	765	0	0	100464	4187	0	2825	0	11894
Chlorocebus_pygerythrus	14650	0	2173	177510	1775	553	21115	1736	8
Ceratotherium_simum	416	175	13724	125680	586	339	83827	193	26
Giraffa_camelopardalis	10638	210	3494	325940	740	1988	112115	2821	31
