sampleid	Extraction_ID	Location	Sitename	Lat	Long	Habitat	Date	Time	Family	Genus	species	Tax	Weight	TL	SL	SI	Diet	Microbiome	AE1	AE2	Gonads	GW	LW	Otolith	Sex	Month
306	A208	Mangareva	F2	-23.062236	-134.996667	Lagoon	18.06.18	11.00-13.00	Balistidae	Rhinecanthus	aculeatus	RHINACUL	85.2	15.6	12.5	Y	omnivore	Y	Y	N	Y	1	3.1	N	F	NA
308	A210	Mangareva	F2	-23.062236	-134.996667	Lagoon	18.06.18	11.00-13.00	Balistidae	Rhinecanthus	aculeatus	RHINACUL	126.2	18	15	Y	omnivore	Y	Y	Y	Y	0.912	1.129	N	F	NA
309	A211	Mangareva	F2	-23.062236	-134.996667	Lagoon	18.06.18	11.00-13.00	Balistidae	Rhinecanthus	aculeatus	RHINACUL	173.6	19.6	15.1	Y	omnivore	Y	Y	N	Y	0.116	1.707	N	M	NA
311	A213	Mangareva	F2	-23.062236	-134.996667	Lagoon	18.06.18	11.00-13.00	Balistidae	Rhinecanthus	aculeatus	RHINACUL	89.9	15.8	12.2	Y	omnivore	Y	Y	N	Y	0.108	1.661	N	M	NA
A73	A73	Mangareva	C1	-23.06875	-135.0078	Slope	14.06.18	9.30-13.00	Serranidae	Cephalopholis	argus	CEPHARGU	1950	43	38	Y	carnivore	Y	Y	Y	Y	0.268	12.07	Y	F	June
A101	A101	Mangareva	C1	-23.06875	-135.0078	Slope	15.06.18	9.30-13.00	Serranidae	Cephalopholis	argus	CEPHARGU	1150	41.1	33.2	Y	carnivore	Y	Y	Y	Y	2.534	4.99	Y	F	June
A104	A104	Mangareva	C1	-23.06875	-135.0078	Slope	15.06.18	9.30-13.00	Serranidae	Cephalopholis	argus	CEPHARGU	600	32	29	Y	carnivore	Y	N	N	Y	2.333	6.321	N	NA	June
A114	A114	Mangareva	D1	-23.06495	-135.00885	Slope	15.06.18	9.00-10.30	Serranidae	Cephalopholis	argus	CEPHARGU	125	40.5	32.2	Y	carnivore	Y	Y	Y	Y	0.977	17.462	Y	M	June
A158	A158	Mangareva	E2	-23.04886	-134.99254	Slope	16.06.18	10.00-12.00	Serranidae	Cephalopholis	argus	CEPHARGU	1400	44.46	35	Y	carnivore	Y	Y	N	Y	0.977	6.725	Y	F	June
A164	A164	Mangareva	E1	-23.080922	-135.016362	Lagoon	17.06.18	10.00-14.00	Serranidae	Cephalopholis	argus	CEPHARGU	1750	44.5	37	Y	carnivore	Y	Y	Y	Y	4.44	14.409	Y	F	June
A194	A194	Mangareva	F1	-23.07685	-135.01845	Slope	17.06.18	8.30-9.00	Serranidae	Cephalopholis	argus	CEPHARGU	1850	45	36	Y	carnivore	Y	N	Y	Y	1.782	15.864	Y	M	June
F20	F20	Moorea	OpunohuPass	-17.48483	-149.86743	Slope	20/03/2018	10:00-11:30	Serranidae	Cephalopholis 	argus	CEPHARGU	275.9	26.5	24	Y	carnivore	Y	N	Y	N	NA	NA	NA	NA	March
F23	F23	Moorea	OpunohuPass	-17.48483	-149.86743	Slope	20/03/2018	10:00-11:30	Serranidae	Cephalopholis 	argus	CEPHARGU	321.2	26	23.2	Y	carnivore	Y	N	Y	N	NA	NA	NA	F	March
F70	F70	Moorea	Manava	-17.47294	-149.80658	Slope	22/03/2018	10:40-11:50	Serranidae	Cephalopholis 	argus	CEPHARGU	154.2	21	18.3	Y	carnivore	Y	N	Y	N	NA	NA	NA	NA	March
F71	F71	Moorea	Manava	-17.47294	-149.80658	Slope	22/03/2018	10:40-11:50	Serranidae	Cephalopholis 	argus	CEPHARGU	192.7	24.9	19.5	Y	carnivore	Y	N	Y	N	NA	NA	NA	NA	March
F86	F86	Moorea	Haapiti	-17.5645	-149.887648	Slope	23/03/2018	10:10-12:00	Serranidae	Cephalopholis 	argus	CEPHARGU	163.7	18	21.9	Y	carnivore	Y	N	N	N	NA	NA	NA	F	March
F161	F161	Moorea	SecretPass	-17.53385	-149.91769	Slope	27/03/2018	9:45-11:20	Serranidae	Cephalopholis 	argus	CEPHARGU	410	29	25.1	Y	carnivore	Y	N	N	N	NA	NA	NA	NA	March
