sampleid	Extraction_ID	Location	Sitename	Lat	Long	Habitat	Date	Time	Family	Genus	species	Tax	Weight	TL	SL	SI	Diet	Microbiome	AE1	AE2	Gonads	GW	LW	Otolith	Sex	Month
17	F107	Moorea	Maharepa	-17.47809	-149.79784	Lagoon	24/03/2018	11:30-13:45	Labridae	Epibulus	insidiator	EPIBINSI	88.7	17	13.7	Y	carnivore	Y	Y	Y	N	NA	NA	NA	F	March
28	F196	Moorea	TheHangover	-17.54487	-149.90109	Lagoon	30/03/2018	10:45-12:40	Labridae	Epibulus	insidiator	EPIBINSI	243.1	26.4	18.2	Y	carnivore	Y	Y	Y	N	NA	NA	NA	NA	March
32	F220	Moorea	Tamae	-17.50781	-149.76033	Slope	31/03/2018	11:45-14:00	Labridae	Epibulus	insidiator	EPIBINSI	279.6	30	22	Y	carnivore	Y	N	N	N	NA	NA	NA	M	March
38	F246	Moorea	3Buoys	-17.4869	-149.87532	Lagoon	29/06/2018	10:45-12:15	Labridae	Epibulus	insidiator	EPIBINSI	104.6	18.5	15.5	Y	carnivore	Y	N	Y	Y	0.534	0.561	NA	F	June
39	F247	Moorea	3Buoys	-17.4869	-149.87532	Lagoon	29/06/2018	10:45-12:15	Labridae	Epibulus	insidiator	EPIBINSI	183.4	23.8	17.3	Y	carnivore	Y	N	Y	Y	0.167	1.651	NA	M	June
42	F266	Moorea	Gump	-17.47325	-149.81839	Slope	30/06/2018	10:45-12:30	Labridae	Epibulus	insidiator	EPIBINSI	232.3	25.1	17.5	Y	carnivore	Y	Y	Y	N	NA	NA	NA	F	June
43	F268	Moorea	Gump	-17.47325	-149.81839	Slope	30/06/2018	10:45-12:30	Labridae	Epibulus	insidiator	EPIBINSI	234.6	26.1	21.2	Y	carnivore	Y	Y	Y	N	NA	3.033	NA	F	June
53	F307	Moorea	TiaharaPass	-17.48229	-149.88779	Slope	3/7/2018	10.15-11.55	Labridae	Epibulus	insidiator	EPIBINSI	212.7	26.5	23	Y	carnivore	Y	N	Y	Y	0.197	1.478	NA	F	July
61	F325	Moorea	Chrisp	-17.47584	-149.83394	Slope	4/7/2018	10.00-12.00	Labridae	Epibulus	insidiator	EPIBINSI	190.1	23.6	18.7	Y	carnivore	Y	Y	Y	Y	0.165	1.548	NA	M	July
90	T018	Tetiaroa	TO1	-17.5791	-149.79355	Slope	27.10.18	10.00-11.30	Labridae	Epibulus	insidiator	EPIBINSI	76.4	22.5	20	Y	carnivore	Y	Y	Y	Y	0.248	2.438	N	F	NA
99	T032	Tetiaroa	TO2	-17.00736	-149.59448	Slope	27.10.18	12.10-13.45	Labridae	Epibulus	insidiator	EPIBINSI	157.9	20.1	15.5	Y	carnivore	Y	Y	Y	Y	6.739	2.51	N	F	NA
106	T039	Tetiaroa	TO2	-17.00736	-149.59448	Slope	27.10.18	12.10-13.45	Labridae	Epibulus	insidiator	EPIBINSI	173.8	23.4	17.3	Y	carnivore	Y	Y	Y	Y	3.535	1.496	N	F	NA
107	T040	Tetiaroa	TO2	-17.00736	-149.59448	Slope	27.10.18	12.10-13.45	Labridae	Epibulus	insidiator	EPIBINSI	187.6	22.5	16.9	Y	carnivore	Y	N	Y	Y	1.009	0.985	N	M	NA
156	T139	Tetiaroa	TO5	-17.00358	-149.59195	Slope	30.10.18	13.15-14.45	Labridae	Epibulus	insidiator	EPIBINSI	146.3	22.5	19.2	Y	carnivore	Y	Y	Y	Y	2.73	1.59	N	F	NA
157	T140	Tetiaroa	TO5	-17.00358	-149.59195	Slope	30.10.18	13.15-14.45	Labridae	Epibulus	insidiator	EPIBINSI	203.5	23.7	18.8	Y	carnivore	Y	Y	Y	Y	6.616	3.145	N	F	NA
162	T153	Tetiaroa	TO6	-16.99398	-149.5563	Slope	3.11.18	9.30-10.45	Labridae	Epibulus	insidiator	EPIBINSI	216.5	23	20	Y	carnivore	Y	Y	Y	N	NA	1.477	N	NA	NA
163	T154	Tetiaroa	TO6	-16.99398	-149.5563	Slope	3.11.18	9.30-10.45	Labridae	Epibulus	insidiator	EPIBINSI	172.3	21	17	Y	carnivore	Y	Y	Y	Y	5.484	1.877	N	F	NA
164	T155	Tetiaroa	TO6	-16.99398	-149.5563	Slope	3.11.18	9.30-10.45	Labridae	Epibulus	insidiator	EPIBINSI	135.9	20	15.8	Y	carnivore	Y	N	Y	Y	0.889	1.599	N	F	NA
178	T181	Tetiaroa	TO12	-16.99801	-149.58928	Slope	5.11.18	11.50-13.00	Labridae	Epibulus	insidiator	EPIBINSI	217.8	24.9	19.9	Y	carnivore	Y	Y	Y	Y	11.985	2.71	N	F	NA
179	T182	Tetiaroa	TO12	-16.99801	-149.58928	Slope	5.11.18	11.50-13.00	Labridae	Epibulus	insidiator	EPIBINSI	NA	33	21.5	Y	carnivore	Y	Y	Y	Y	1.878	5.535	N	M	NA
191	A11	Mangareva	A2	-23.07165	-135.0064	Lagoon	13.06.18	10.00-15.00	Labridae	Epibulus	insidiator	EPIBINSI	238.6	28.4	17.5	Y	carnivore	Y	Y	N	Y	0.23	NA	N	M	NA
209	A48	Mangareva	B1	-23.15397	-135.0599	Lagoon	14.06.18	10.00-14.00	Labridae	Epibulus	insidiator	EPIBINSI	146	20.5	18	Y	carnivore	Y	N	Y	Y	0.613	0.9	Y	M	NA
210	A49	Mangareva	B1	-23.15397	-135.0599	Lagoon	14.06.18	10.00-14.00	Labridae	Epibulus	insidiator	EPIBINSI	200.1	25.4	18	Y	carnivore	Y	N	N	Y	0.21	1.791	Y	M	NA
212	A51	Mangareva	B1	-23.15397	-135.0599	Lagoon	14.06.18	10.00-14.00	Labridae	Epibulus	insidiator	EPIBINSI	206.9	24.6	18.1	Y	carnivore	Y	N	Y	Y	0.691	1.822	Y	F	NA
213	A54	Mangareva	B1	-23.15397	-135.0599	Lagoon	14.06.18	10.00-14.00	Labridae	Epibulus	insidiator	EPIBINSI	241.8	25.4	18.9	Y	carnivore	Y	N	N	Y	0.74	2.061	Y	F	NA
214	A57	Mangareva	B1	-23.15397	-135.0599	Lagoon	14.06.18	10.00-14.00	Labridae	Epibulus	insidiator	EPIBINSI	224.2	26.1	18	Y	carnivore	Y	Y	Y	Y	0.166	1.951	Y	M	NA
230	A80	Mangareva	C1	-23.06875	-135.0078	Slope	15.06.18	9.30-13.00	Labridae	Epibulus	insidiator	EPIBINSI	202.1	23	16.8	Y	carnivore	Y	Y	Y	Y	0.151	2.697	Y	M	NA
233	A83	Mangareva	C1	-23.06875	-135.0078	Slope	15.06.18	9.30-13.00	Labridae	Epibulus	insidiator	EPIBINSI	133.9	21.8	15.4	Y	carnivore	Y	N	N	Y	0.098	0.888	Y	M	NA
251	A118	Mangareva	D2	-23.08718	-134.97366	Lagoon	16.06.18	11.00-14.00	Labridae	Epibulus	insidiator	EPIBINSI	520	35	25.9	Y	carnivore	Y	Y	Y	Y	0.637	6.514	Y	F	NA
253	A121	Mangareva	D2	-23.08718	-134.97366	Lagoon	16.06.18	11.00-14.00	Labridae	Epibulus	insidiator	EPIBINSI	329	30	20.7	Y	carnivore	Y	Y	Y	Y	0.167	2.462	Y	M	NA
255	A124	Mangareva	D2	-23.08718	-134.97366	Lagoon	16.06.18	11.00-14.00	Labridae	Epibulus	insidiator	EPIBINSI	155.2	21.8	16.1	Y	carnivore	Y	N	Y	Y	0.482	1.277	Y	F	NA
284	A179	Mangareva	E1	-23.080922	-135.016362	Lagoon	17.06.18	10.00-14.00	Labridae	Epibulus	insidiator	EPIBINSI	174.9	25	17.4	Y	carnivore	Y	N	Y	Y	0.089	0.963	Y	M	NA
A1	A1	Mangareva	A1	-23.0744	-135.014887	Slope	13.06.18	9.00-9.30	Acanthuridae	Naso	lituratus	NASOLITU	600	29	23	Y	herbivore	Y	Y	Y	N	NA	NA	N	NA	June
A5	A5	Mangareva	A2	-23.07165	-135.0064	Lagoon	13.06.18	10.00-15.00	Acanthuridae	Naso	lituratus	NASOLITU	379	30	19	Y	herbivore	Y	Y	Y	N	NA	NA	N	NA	June
A9	A9	Mangareva	A2	-23.07165	-135.0064	Lagoon	13.06.18	10.00-15.00	Acanthuridae	Naso	lituratus	NASOLITU	396	30	20.5	Y	herbivore	Y	Y	Y	N	NA	NA	N	NA	June
A12	A12	Mangareva	A2	-23.07165	-135.0064	Lagoon	13.06.18	10.00-15.00	Acanthuridae	Naso	lituratus	NASOLITU	356	31	21.5	Y	herbivore	Y	Y	Y	N	NA	NA	N	NA	June
A15	A15	Mangareva	A2	-23.07165	-135.0064	Lagoon	13.06.18	10.00-15.00	Acanthuridae	Naso	lituratus	NASOLITU	345	30	21	Y	herbivore	Y	Y	Y	N	NA	NA	N	NA	June
A59	A59	Mangareva	B1	-23.15397	-135.0599	Lagoon	14.06.18	10.00-14.00	Acanthuridae	Naso	lituratus	NASOLITU	550	30	22.5	Y	herbivore	Y	Y	Y	Y	9.212	6.771	Y	F	June
A103	A103	Mangareva	C2	-23.077614	-135.013461	Lagoon	15.06.18	13.00-14.00	Acanthuridae	Naso	lituratus	NASOLITU	95	45	27	Y	herbivore	Y	Y	Y	Y	0.71	7.112	N	M	June
A122	A122	Mangareva	D2	-23.08718	-134.97366	Lagoon	16.06.18	11.00-14.00	Acanthuridae	Naso	lituratus	NASOLITU	246	26	19	Y	herbivore	Y	Y	Y	N	NA	2.607	N	NA	June
T25	T25	Tetiaroa	TO2	-17.00736	-149.59448	Slope	27.10.18	12.10-13.45	Acanthuridae	Naso	lituratus	NASOLITU	250.4	25.2	20	Y	herbivore	Y	Y	Y	Y	1.885	1.956	Y	F	October
T26	T26	Tetiaroa	TO2	-17.00736	-149.59448	Slope	27.10.18	12.10-13.45	Acanthuridae	Naso	lituratus	NASOLITU	219.3	24.2	18.5	Y	herbivore	Y	Y	Y	Y	5.378	3.335	Y	F	October
T29	T29	Tetiaroa	TO2	-17.00736	-149.59448	Slope	27.10.18	12.10-13.45	Acanthuridae	Naso	lituratus	NASOLITU	312.3	33.5	21.4	Y	herbivore	Y	Y	Y	Y	2.387	3.021	Y	M	October
T48	T48	Tetiaroa	TO3	-17.00743	-149.59453	Slope	28.10.18	10.40-12.00	Acanthuridae	Naso	lituratus	NASOLITU	284.3	24.4	19.5	Y	herbivore	Y	Y	Y	Y	8.907	4.261	Y	F	October
T53	T53	Tetiaroa	TO3	-17.00743	-149.59453	Slope	28.10.18	10.40-12.00	Acanthuridae	Naso	lituratus	NASOLITU	238.2	23.4	19.5	Y	herbivore	Y	Y	Y	Y	5.169	2.599	Y	F	October
T65	T65	Tetiaroa	TO4	-16.98261	-149.56053	Slope	28.10.18	12.10-14.00	Acanthuridae	Naso	lituratus	NASOLITU	256	26.1	20.9	Y	herbivore	Y	Y	Y	Y	4.124	4.51	Y	F	October
T67	T67	Tetiaroa	TO4	-16.98261	-149.56053	Slope	28.10.18	12.10-14.00	Acanthuridae	Naso	lituratus	NASOLITU	240.2	24.6	20.3	Y	herbivore	Y	Y	Y	Y	6.086	3.835	Y	F	October
T70	T70	Tetiaroa	TO4	-16.98261	-149.56053	Slope	28.10.18	12.10-14.00	Acanthuridae	Naso	lituratus	NASOLITU	283.5	26.7	21.1	Y	herbivore	Y	Y	Y	Y	3.959	2.116	Y	F	October
T130	T130	Tetiaroa	TO5	-17.00358	-149.59195	Slope	30.10.18	13.15-14.45	Acanthuridae	Naso	lituratus	NASOLITU	236.5	23.8	19.1	Y	herbivore	Y	Y	Y	Y	5.4	3.319	Y	F	October
T151	T151	Tetiaroa	TO6	-16.99398	-149.5563	Slope	3.11.18	9.30-10.45	Acanthuridae	Naso	lituratus	NASOLITU	257.2	23.9	18.6	Y	herbivore	Y	Y	Y	Y	7.907	5.09	Y	F	October
F66	F66	Moorea	Manava	-17.47294	-149.80658	Slope	22/03/2018	10:40-11:50	Acanthuridae	Naso	lituratus	NASOLITU	225.4	22	18	Y	herbivore	Y	N	Y	N	NA	NA	NA	F	March
F96	F96	Moorea	Haapiti	-17.5645	-149.887648	Slope	23/03/2018	10:10-12:00	Acanthuridae	Naso	lituratus	NASOLITU	292	32.3	18.9	Y	herbivore	Y	Y	Y	N	NA	NA	NA	NA	March
F123	F123	Moorea	PetitVillage	-17.49824	-149.92755	Slope	26/03/2018	10:00-10:45	Acanthuridae	Naso	lituratus	NASOLITU	117.3	19.5	15.5	Y	herbivore	Y	N	Y	N	NA	NA	NA	NA	March
F158	F158	Moorea	SecretPass	-17.53385	-149.91769	Slope	27/03/2018	9:45-11:20	Acanthuridae	Naso	lituratus	NASOLITU	168.9	21	15.7	Y	herbivore	Y	Y	Y	N	NA	NA	NA	NA	March
F251	F251	Moorea	Gump	-17.47325	-149.81839	Slope	30/06/2018	10:45-12:30	Acanthuridae	Naso	lituratus	NASOLITU	253.1	35	20	Y	herbivore	Y	N	Y	Y	0.36	2.704	NA	M	June
F299	F299	Moorea	TiaharaPass	-17.48229	-149.88779	Slope	43166	10.15-11.55	Acanthuridae	Naso	lituratus	NASOLITU	112.5	19.5	14	Y	herbivore	Y	Y	Y	Y	0.476	0.703	NA	F	July
A4	A4	Mangareva	A2	-23.07165	-135.0064	Lagoon	13.06.18	10.00-15.00	Serranidae	Epinephelus	merra	EPINMERR	232.1	24.9	19.9	Y	carnivore	Y	N	Y	N	NA	NA	N	NA	June
A13	A13	Mangareva	A2	-23.07165	-135.0064	Lagoon	13.06.18	10.00-15.00	Serranidae	Epinephelus	merra	EPINMERR	129.5	22.6	17.8	Y	carnivore	Y	N	Y	N	NA	NA	N	M 	June
A17	A17	Mangareva	A2	-23.07165	-135.0064	Lagoon	13.06.18	10.00-15.00	Serranidae	Epinephelus	merra	EPINMERR	167.8	22.8	18	Y	carnivore	Y	N	N	N	NA	NA	N	M	June
A32	A32	Mangareva	A2	-23.07165	-135.0064	Lagoon	13.06.18	10.00-15.00	Serranidae	Epinephelus	merra	EPINMERR	58	16	14	Y	carnivore	Y	N	N	N	NA	NA	N	NA	June
A35	A35	Mangareva	A2	-23.07165	-135.0064	Lagoon	13.06.18	10.00-15.00	Serranidae	Epinephelus	merra	EPINMERR	115	20	17	Y	carnivore	Y	N	N	N	NA	NA	N	NA	June
A58	A58	Mangareva	B1	-23.15397	-135.0599	Lagoon	14.06.18	10.00-14.00	Serranidae	Epinephelus	merra	EPINMERR	114.2	20.1	15.1	Y	carnivore	Y	N	N	Y	0.017	1.135	Y	M	June
A61	A61	Mangareva	B1	-23.15397	-135.0599	Lagoon	14.06.18	10.00-14.00	Serranidae	Epinephelus	merra	EPINMERR	66.6	16.9	13.2	Y	carnivore	Y	N	N	Y	0.091	0.9	Y	M	June
A105	A105	Mangareva	C2	-23.077614	-135.013461	Lagoon	15.06.18	13.00-14.00	Serranidae	Epinephelus	merra	EPINMERR	158.9	21.2	16.2	Y	carnivore	Y	Y	Y	Y	0.098	1.761	Y	M	June
A142	A142	Mangareva	D2	-23.08718	-134.97366	Lagoon	16.06.18	11.00-14.00	Serranidae	Epinephelus	merra	EPINMERR	149.8	20.5	18.5	Y	carnivore	Y	N	Y	N	NA	1.296	N	M	June
A145	A145	Mangareva	D2	-23.08718	-134.97366	Lagoon	16.06.18	11.00-14.00	Serranidae	Epinephelus	merra	EPINMERR	172.7	22.2	17.3	Y	carnivore	Y	N	Y	Y	0.309	3.61	Y	F	June
A147	A147	Mangareva	D2	-23.08718	-134.97366	Lagoon	16.06.18	11.00-14.00	Serranidae	Epinephelus	merra	EPINMERR	129.1	20.5	17.5	Y	carnivore	Y	Y	Y	N	NA	1.91	N	NA	June
A150	A150	Mangareva	D2	-23.08718	-134.97366	Lagoon	16.06.18	11.00-14.00	Serranidae	Epinephelus	merra	EPINMERR	108.4	19.9	15.1	Y	carnivore	Y	Y	Y	Y	0.055	1.263	Y	M	June
A154	A154	Mangareva	D2	-23.08718	-134.97366	Lagoon	16.06.18	11.00-14.00	Serranidae	Epinephelus	merra	EPINMERR	99.9	20	15.9	Y	carnivore	Y	Y	Y	Y	0.17	2.812	Y	F	June
A155	A155	Mangareva	D2	-23.08718	-134.97366	Lagoon	16.06.18	11.00-14.00	Serranidae	Epinephelus	merra	EPINMERR	94.8	19.5	15.4	Y	carnivore	Y	N	N	Y	0.098	0.604	Y	F	June
F40	F40	Moorea	OpunohuEntrance2	-17.48959	-149.86676	Lagoon	21/03/2018	10:00-11:30	Serranidae	Epinephelus	merra	EPINMERR	89.8	19.3	16	Y	carnivore	Y	N	Y	N	NA	NA	NA	NA	March
F346	F346	Moorea	OponohuDaybreakI	-17.4888	-149.85818	Lagoon	43227	6.30-7.40	Serranidae	Epinephelus	merra	EPINMERR	115.9	22	18	Y	carnivore	Y	Y	N	Y	0.005	0.935	NA	M	July
F348	F348	Moorea	OponohuDaybreakI	-17.4888	-149.85818	Lagoon	43227	6.30-7.40	Serranidae	Epinephelus	merra	EPINMERR	97	16.5	14	Y	carnivore	Y	N	Y	N	NA	0.27	NA	NA	July
F425	F425	Moorea	Pharmacie	-17.48306	-149.8163	Lagoon	43411	10.10-12.00	Serranidae	Epinephelus	merra	EPINMERR	166.3	23	20	Y	carnivore	Y	Y	Y	Y	0.049	1.931	NA	M	July
F431	F431	Moorea	Pharmacie	-17.48306	-149.8163	Lagoon	43411	10.10-12.00	Serranidae	Epinephelus	merra	EPINMERR	148.2	23	18.5	Y	carnivore	Y	N	Y	N	NA	0.746	NA	NA	July
F446	F446	Moorea	Pharmacie	-17.48306	-149.8163	Lagoon	43411	10.10-12.00	Serranidae	Epinephelus	merra	EPINMERR	121.5	21	17.5	Y	carnivore	Y	Y	Y	Y	0.04	1.286	NA	F	July
F456	F456	Moorea	SamSite	-17.51571	-149.92183	Lagoon	43441	10.00-12.00	Serranidae	Epinephelus	merra	EPINMERR	128.2	22	19	Y	carnivore	Y	Y	Y	Y	0.306	0.7	NA	F	July
F460	F460	Moorea	SamSite	-17.51571	-149.92183	Lagoon	43441	10.00-12.00	Serranidae	Epinephelus	merra	EPINMERR	141.4	23	20.2	Y	carnivore	Y	N	Y	Y	0.04	0.4	NA	F	July
T99	T99	Tetiaroa	TL2	-17.00312	-149.58804	Lagoon	29.10.18	12.10-14.30	Serranidae	Epinephelus	merra	EPINMERR	157.7	25.6	20	Y	carnivore	Y	N	Y	Y	0.246	0.732	N	M	October
T102	T102	Tetiaroa	TL2	-17.00312	-149.58804	Lagoon	29.10.18	12.10-14.30	Serranidae	Epinephelus	merra	EPINMERR	144.4	22.7	18.3	Y	carnivore	Y	N	Y	Y	0.177	0.983	N	M	October
T103	T103	Tetiaroa	TL2	-17.00312	-149.58804	Lagoon	29.10.18	12.10-14.30	Serranidae	Epinephelus	merra	EPINMERR	147.1	22.4	17.5	Y	carnivore	Y	Y	Y	Y	0.129	0.745	N	M	October
T105	T105	Tetiaroa	TL2	-17.00312	-149.58804	Lagoon	29.10.18	12.10-14.30	Serranidae	Epinephelus	merra	EPINMERR	54.4	17.1	13.9	Y	carnivore	Y	Y	Y	Y	0.179	0.451	N	F	October
T108	T108	Tetiaroa	TL2	-17.00312	-149.58804	Lagoon	29.10.18	12.10-14.30	Serranidae	Epinephelus	merra	EPINMERR	143.3	21.6	17.5	Y	carnivore	Y	Y	Y	Y	0.164	0.913	N	M	October
T109	T109	Tetiaroa	TL2	-17.00312	-149.58804	Lagoon	29.10.18	12.10-14.30	Serranidae	Epinephelus	merra	EPINMERR	55.5	16.9	13.4	Y	carnivore	Y	Y	Y	Y	0.138	0.199	N	F	October
T120	T120	Tetiaroa	TL3	-17.00309	-149.58783	Lagoon	30.10.18	10.45-13.00	Serranidae	Epinephelus	merra	EPINMERR	136.7	22.5	17.7	Y	carnivore	Y	Y	Y	N	0.09	0.522	N	M	October
T121	T121	Tetiaroa	TL3	-17.00309	-149.58783	Lagoon	30.10.18	10.45-13.00	Serranidae	Epinephelus	merra	EPINMERR	177.5	22.6	18.6	Y	carnivore	Y	Y	Y	N	0.14	0.865	N	F	October
T122	T122	Tetiaroa	TL3	-17.00309	-149.58783	Lagoon	30.10.18	10.45-13.00	Serranidae	Epinephelus	merra	EPINMERR	132.4	22.8	17.5	Y	carnivore	Y	N	Y	N	0.04	0.761	N	M	October
T123	T123	Tetiaroa	TL3	-17.00309	-149.58783	Lagoon	30.10.18	10.45-13.00	Serranidae	Epinephelus	merra	EPINMERR	105.4	19	15.2	Y	carnivore	Y	N	Y	Y	0.245	0.519	N	F	October
T124	T124	Tetiaroa	TL3	-17.00309	-149.58783	Lagoon	30.10.18	10.45-13.00	Serranidae	Epinephelus	merra	EPINMERR	78.1	18.3	14.5	Y	carnivore	Y	N	Y	Y	0.191	0.382	N	F	October
T143	T143	Tetiaroa	TL3	-17.00309	-149.58783	Lagoon	30.10.18	10.45-13.00	Serranidae	Epinephelus	merra	EPINMERR	91.6	20.2	16	Y	carnivore	Y	N	Y	Y	0.316	0.329	N	F	October
a	a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A56R	A56R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
b	b	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c	c	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
d	d	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
e	e	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F2R	F2R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M123	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M158	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M251	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M299	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M66	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M96	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5	F21	Moorea	OpunohuPass	-17.48483	-149.86743	Slope	20/03/2018	10:00-11:30	Chaetodontidae	Chaetodon	ornatissimus	CHAEORNA	33.5	10.7	9.6	Y	corallivore	Y	N	Y	N	NA	NA	NA	NA	March
9	F43	Moorea	OpunohuEntrance2	-17.48959	-149.86676	Lagoon	21/03/2018	10:00-11:30	Chaetodontidae	Chaetodon	ornatissimus	CHAEORNA	54.8	12.3	11.2	Y	corallivore	Y	N	Y	N	NA	NA	NA	NA	March
10	F44	Moorea	OpunohuEntrance2	-17.48959	-149.86676	Lagoon	21/03/2018	10:00-11:30	Chaetodontidae	Chaetodon	ornatissimus	CHAEORNA	47.2	11.5	9.2	Y	corallivore	Y	N	Y	N	NA	NA	NA	NA	March
12	F62	Moorea	Manava	-17.47294	-149.80658	Slope	22/03/2018	10:40-11:50	Chaetodontidae	Chaetodon	ornatissimus	CHAEORNA	83.1	13.8	12	Y	corallivore	Y	N	Y	N	NA	NA	NA	F	March
13	F64	Moorea	Manava	-17.47294	-149.80658	Slope	22/03/2018	10:40-11:50	Chaetodontidae	Chaetodon	ornatissimus	CHAEORNA	93	14.1	12	Y	corallivore	Y	N	Y	N	NA	NA	NA	F	March
40	F254	Moorea	Gump	-17.47325	-149.81839	Slope	30/06/2018	10:45-12:30	Chaetodontidae	Chaetodon	ornatissimus	CHAEORNA	69.9	12.6	10.2	Y	corallivore	Y	Y	Y	Y	0.151	0.643	NA	F	June
41	F256	Moorea	Gump	-17.47325	-149.81839	Slope	30/06/2018	10:45-12:30	Chaetodontidae	Chaetodon	ornatissimus	CHAEORNA	86.5	15	12	Y	corallivore	Y	Y	Y	Y	1.72	0.679	NA	F	June
45	F278	Moorea	LastPass	-17.47321	-149.78116	Lagoon	2/7/2018	10:45-11:50	Chaetodontidae	Chaetodon	ornatissimus	CHAEORNA	103.9	15	12.5	Y	corallivore	Y	Y	Y	Y	1.234	0.895	NA	F	July
51	F302	Moorea	TiaharaPass	-17.48229	-149.88779	Slope	3/7/2018	10.15-11.55	Chaetodontidae	Chaetodon	ornatissimus	CHAEORNA	58.7	12.5	10.5	Y	corallivore	Y	Y	Y	Y	0.095	0.388	NA	NA	July
55	F318	Moorea	Chrisp	-17.47584	-149.83394	Slope	4/7/2018	10.00-12.00	Chaetodontidae	Chaetodon	ornatissimus	CHAEORNA	80.8	13.4	11	Y	corallivore	Y	Y	Y	Y	0.73	1.133	NA	F	July
78	T002	Tetiaroa	TO1	-17.5791	-149.79355	Slope	27.10.18	10.00-11.30	Chaetodontidae	Chaetodon	ornatissimus	CHAEORNA	125.9	16	13.7	Y	corallivore	Y	Y	Y	Y	0.314	0.978	Y	M	NA
81	T007	Tetiaroa	TO1	-17.5791	-149.79355	Slope	27.10.18	10.00-11.30	Chaetodontidae	Chaetodon	ornatissimus	CHAEORNA	83.3	15	12.5	Y	corallivore	Y	N	Y	Y	0.181	0.702	Y	M	NA
82	T008	Tetiaroa	TO1	-17.5791	-149.79355	Slope	27.10.18	10.00-11.30	Chaetodontidae	Chaetodon	ornatissimus	CHAEORNA	83.8	13.6	11.2	Y	corallivore	Y	Y	Y	Y	1.207	0.619	Y	F	NA
92	T020	Tetiaroa	TO2	-17.00736	-149.59448	Slope	27.10.18	12.10-13.45	Chaetodontidae	Chaetodon	ornatissimus	CHAEORNA	87.8	15.4	13.3	Y	corallivore	Y	Y	Y	Y	3.265	0.892	Y	F	NA
93	T022	Tetiaroa	TO2	-17.00736	-149.59448	Slope	27.10.18	12.10-13.45	Chaetodontidae	Chaetodon	ornatissimus	CHAEORNA	114.3	15.7	13.3	Y	corallivore	Y	Y	Y	Y	0.232	0.382	Y	M	NA
94	T024	Tetiaroa	TO2	-17.00736	-149.59448	Slope	27.10.18	12.10-13.45	Chaetodontidae	Chaetodon	ornatissimus	CHAEORNA	87.3	15.2	12.4	Y	corallivore	Y	N	Y	Y	0.211	0.695	N	M	NA
113	T062	Tetiaroa	TO4	-16.98261	-149.56053	Slope	28.10.18	12.10-14.00	Chaetodontidae	Chaetodon	ornatissimus	CHAEORNA	109.1	15.4	12.5	Y	corallivore	Y	Y	Y	Y	6.115	1.341	Y	F	NA
114	T063	Tetiaroa	TO4	-16.98261	-149.56053	Slope	28.10.18	12.10-14.00	Chaetodontidae	Chaetodon	ornatissimus	CHAEORNA	100.9	14	11	Y	corallivore	Y	Y	Y	Y	1.424	1.286	Y	F	NA
115	T064	Tetiaroa	TO4	-16.98261	-149.56053	Slope	28.10.18	12.10-14.00	Chaetodontidae	Chaetodon	ornatissimus	CHAEORNA	119.3	14.6	11.9	Y	corallivore	Y	Y	Y	Y	0.159	0.951	Y	M	NA
132	T095	Tetiaroa	TL2	-17.00312	-149.58804	Lagoon	29.10.18	12.10-14.30	Chaetodontidae	Chaetodon	ornatissimus	CHAEORNA	147.7	15	13	Y	corallivore	Y	Y	Y	Y	0.392	0.871	Y	M	NA
