,0
398aEurasianReedWarbler,9071.0
WS43,9049.0
F300bAsp,8966.0
263,8959.0
173,8935.0
A24,8933.0
14,8881.0
169,8819.0
124,8812.0
112,8759.0
18,8705.0
WS44,8448.0
127,8437.0
D53,8420.0
T99,8419.0
350SmoothNewt,8308.0
F23,8251.0
120,8242.0
A16,8230.0
30BeechMarten,8219.0
A60,8210.0
F446,8170.0
F252,8157.0
222,8152.0
A18,8141.0
T105,8105.0
169GreatCormorant,8088.0
A22,7969.0
A150,7947.0
155,7927.0
138,7893.0
A61,7819.0
81,7746.0
F70,7672.0
F425,7664.0
F315,7656.0
A53,7650.0
T103,7628.0
93,7623.0
167,7597.0
281,7590.0
D21,7579.0
A117,7554.0
C13,7491.0
98,7438.0
375EuropeanPineMarten,7392.0
C14,7261.0
147,7260.0
T110,7200.0
A35,7125.0
A147,7058.0
97,7022.0
98EurasianRedSquirrel,6989.0
240,6985.0
61,6929.0
F345,6866.0
A154,6833.0
D4,6794.0
115,6746.0
294Emu,6704.0
F40,6702.0
65,6665.0
T68,6642.0
T108,6622.0
D14,6606.0
231,6528.0
90,6497.0
89FatDormouse,6467.0
143,6440.0
F346,6423.0
226,6406.0
22,6382.0
262,6372.0
A56R,6148.0
92,6128.0
W51,6073.0
304,6069.0
T122,6034.0
235,6024.0
D20,5942.0
W63,5935.0
201,5912.0
A158,5851.0
181,5850.0
141,5775.0
174,5766.0
170,5750.0
165,5730.0
129,5691.0
D8,5654.0
242,5625.0
180,5611.0
WS42,5576.0
26,5528.0
256,5504.0
A164,5487.0
89,5475.0
236,5434.0
A14,5423.0
230,5413.0
108,5409.0
295,5384.0
195,5363.0
121,5354.0
132,5251.0
186,5249.0
A145,5239.0
WS29,5229.0
34,5198.0
F336,5196.0
A142,5167.0
67,5153.0
WS46,5128.0
142,5126.0
221,5111.0
158,5099.0
152,5094.0
114,5090.0
136,5028.0
293,4967.0
234,4944.0
A3,4937.0
255,4919.0
60,4894.0
15,4805.0
137,4748.0
313,4745.0
250,4669.0
48,4647.0
T43,4597.0
223,4554.0
F31,4510.0
T42,4501.0
151,4471.0
A33,4464.0
F267,4384.0
310,4363.0
A13,4319.0
149,4313.0
C29,4307.0
A155,4281.0
76,4275.0
T9,4235.0
52,4218.0
171,4151.0
A17,4147.0
133,4103.0
WS5,4062.0
175,3956.0
276,3920.0
F161,3859.0
A194,3858.0
269,3828.0
WS14,3817.0
233,3760.0
154,3743.0
103,3735.0
219,3633.0
