itolid	Proteobacteria	Planctomycetota	Verrucomicrobiota	Firmicutes	Actinobacteriota	Desulfobacterota	Bacteroidota	Cyanobacteria	Fusobacteriota
Blicca bjoerkna	104137	407	1336	9457	983	199	357	125	21511
Halichoerus grypus	7396	4	12	31711	114	0	31	0	66567
Phoca vitulina	613	0	0	53792	357	0	462	0	15
Mesoplodon bidens	10987	0	0	64755	0	0	4	0	0
Lagenorhynchus albirostris	44912	0	0	49804	10	0	9	0	32461
Bufo viridis	2321	0	0	9192	161	0	255	0	86
Rana dalmatina	20809	0	0	9063	280	3	818	25	11
Odocoileus virginianus	220	55	2065	40613	375	0	21237	56	0
Philander opossum	407	0	4	7465	21	148	56885	4	3
Heteromys desmarestianus	533	0	8	20465	66	266	24992	9	0
Martes martes	5252	0	0	2013	2	0	3	0	122
Spermophilus citellus	1155	0	2321	282943	2985	28	52444	2847	54
Crocodylus moreletii	4315	0	5	60670	9	3	33074	0	52510
Acrocephalus scirpaceus	571	0	3	34233	894	0	83	7	68
Papio ursinus	992	0	1473	127555	95	268	16011	1500	6
Crocodylus niloticus	32814	3	122	50412	124	56	3209	43	6817
Aepyceros melampus	2921	208	575	247027	684	77	6094	262	16
Panthera pardus	765	0	0	100464	4187	0	2825	0	11894
Chlorocebus pygerythrus	14650	0	2173	177510	1775	553	21115	1736	8
Ceratotherium simum	416	175	13724	125680	586	339	83827	193	26
Giraffa camelopardalis	10638	210	3494	325940	740	1988	112115	2821	31
Syncerus caffer	950	0	50	116929	68	109	22743	3	0
Hippopotamus amphibius	4370	0	207	261299	845	12	18012	20	68
Equus quagga	8559	163	14696	239300	2096	581	64005	2285	0
Procyon lotor	25755	0	4	151596	146	0	3124	0	28800
Camelus bactrianus	554	87	10653	49651	47	877	25013	877	0
Calidris alpina	802	2	3	5938	11	16	73	7	3366
Canis lupus	4469	8	4	286736	7849	0	57407	0	37987
Eliomys quercinus	250	0	0	98187	316	0	9	0	13
Glis glis	59039	11	4	31750	93	0	1077	0	29
Vipera ursinii	168033	45	1674	73320	801	1830	72454	481	2553
Sciurus vulgaris	53	0	0	2334	8	3	4427	0	0
Bufo bufo	27777	52	22280	112380	864	6327	52684	0	220
Aspius aspius	822	25	13	12484	23	44	9	0	13729
Mus musculus	146	0	0	17006	21	47	42048	2	9
Asio otus	681	0	70	14548	1606	62	2713	0	63
Crocidura suaveolens	54543	6	47	691	465	0	10	0	0
Cyprinus carpio	23697	0	3	7153	21	77	97	3	780
Lagopus muta	900	0	0	57380	5453	537	1766	15	34
Nomascus gabriellae	1662	0	52	38752	840	35	55076	348	46
Parus major	6894	310	96	32348	2052	5440	4947	0	397
Nyctereutes procyonoides	1348	0	8	71918	2785	662	3118	195	3878
Cervus elaphus	12325	577	11806	850870	1166	1528	311212	10309	149
Apodemus flavicollis	1399	0	246	37307	167	2170	45884	86	16
Felis catus	11221	0	6	187848	9831	44	74941	0	4289
Corvus corone	1708	0	0	22695	0	0	7	0	0
Nycticebus pygmaeus	10308	0	96	22098	4972	232	46373	281	932
Trachypithecus hatinhensis	17898	158	825	48429	352	841	2975	141	7
Trachypithecus delacouri	19452	115	359	67729	68	1509	7627	60	15
Nomascus siki	19439	0	0	37774	2854	57	16326	8	18
Testudo hermanni	304	78	19	30799	1315	73	3412	0	1694
Circus aeruginosus	26496	0	0	3268	0	0	11	0	42587
Branta leucopsis	109895	0	10	54470	1813	0	246	0	18
Trichosurus vulpecula	431	0	533	131955	15	239	2491	4346	7
Macropus giganteus	11767	91	7279	82266	31167	45	18946	248	608
Dromaius novaehollandiae	75008	3	46	14935	440	0	2446	41	0
Gallus gallus	555	0	0	58059	339	23	28	0	7
Carassius gibelio	26906	526	905	12007	1239	203	367	155	3411
Meleagris gallopavo	3570	0	11	85981	467	0	24	0	0
Leuciscus idus	8283	10	20	9129	405	266	888	5	47309
Phocoena phocoena	2340	0	3	28342	72	0	420	0	31641
Balaenoptera borealis	627	0	132	23391	98	711	54016	19	122
Anas platyrhynchos	2925	0	2	76934	553	6	198	0	522
Manis temminckii	62505	0	6	4426	17	0	18	0	16
Lissotriton vulgaris	4533	88	202	61	301	47	2502	0	0
Natrix natrix	51292	33	66	3593	3692	0	6275	2	1996
Potos flavus	22920	2	31	3526	26	0	76	0	185
Choloepus hoffmanni	4285	0	42970	55924	19209	237	37386	422	97
Tamandua mexicana	58386	7	4337	54364	339	96	31704	6	12466
Bradypus variegatus	2718	220	18634	65152	915	211	11471	233	15
Lepus tolai	186	0	3	65306	2227	118	8686	0	25
Gazella subgutturosa	448	35	1315	49202	160	214	11994	501	11
Strix uralensis	26259	0	0	45550	3160	0	4965	0	10
Dendrocopos major	22237	0	0	74822	45	0	65	0	0
Caprimulgus europaeus	34836	0	0	28855	9	0	16	0	9
Capreolus capreolus	993	0	93	63368	198	18	35564	707	17
Lutra lutra	967	0	0	77300	21	18	1429	41	10
Tringa glareola	89980	0	3	150	0	0	10	0	17
Esox lucius	58644	5	6	37725	11	0	7079	14	73959
Dama dama	1113	127	999	152980	405	638	48615	537	41
Ovis aries	374	22	513	56875	167	233	23001	608	0
Porites lobata	186009	237	175	51	36	48	2360	685	93
Pocillopora elegans	183608	293	228	21	90	149	3019	9627	168
Acropora hyacinthus	39601	817	1547	33	129	140	5694	3405	91
Stegastes nigricans	134862	47704	16916	22092	6293	7938	24874	13554	12723
