DATASET_MULTIBAR									
SEPARATOR TAB									
DATASET_LABEL	Taxa barchart2								
COLOR	#00FF00								
FIELD_COLORS	#a6cee3	#cab2d6	#1f78b4	#33a02c	#6a3d9a	#b2df8a	#fb9a99	#e31a1c	#ff7f00
FIELD_LABELS	Proteobacteria	Planctomycetota	Verrucomicrobiota	Firmicutes	Actinobacteriota	Desulfobacterota	Bacteroidota	Cyanobacteria	Fusobacteriota
LEGEND_TITLE	Dataset legend								
LEGEND_SHAPES	1	1	1	1	1	1	1	1	1
LEGEND_COLORS	#a6cee3	#cab2d6	#1f78b4	#33a02c	#6a3d9a	#b2df8a	#fb9a99	#e31a1c	#ff7f00
LEGEND_LABELS	Proteobacteria	Planctomycetota	Verrucomicrobiota	Firmicutes	Actinobacteriota	Desulfobacterota	Bacteroidota	Cyanobacteria	Fusobacteriota
MARGIN	0								
WIDTH	200								
DATA									
'Sander_lucioperca'	0.630058644	0	0	99.36994136	0	0	0	0	0
'Turdus_merula'	30.31438721	0	0.795737123	49.63587922	1.18294849	0.380106572	17.34280639	0	0.348134991
'Ciconia_ciconia'	2.851164007	0	0	97.11541256	0.033423431	0	0	0	0
'Corvus_frugilegus'	83.24832823	0.385356455	0.022668027	10.14394197	5.315652272	0	0.82171597	0	0.062337074
'Macropus_fuliginosus'	6.083702806	0.079152898	6.529837321	74.10205742	1.095963202	0.157752279	11.67809679	0.255724747	0.017712537
'Vespadelus_baverstocki'	11.70396231	0.006309414	0.004206276	87.14982754	0.828636325	0.172457306	0.10936317	0	0.025237655
'Phascolarctos_cinereus'	56.28838472	0.290592917	0.017634926	26.05215338	1.058095581	2.069420271	12.79758938	1.426128827	0
'Chrysococcyx_basalis'	0.922803904	0	32.60692103	30.8216504	4.903283052	0.008873114	30.68855368	0.047914818	0
'Martes_foina'	25.72089062	0	0	74.27910938	0	0	0	0	0
'Lepus_europaeus'	0.526806603	0	1.739817371	50.79476746	0.448510147	0.794183158	45.5376863	0.148880127	0.009348831
'Anser_anser'	8.862546695	0	0	89.90057946	0.713298232	0	0.476512633	0	0.047062976
'Blicca_bjoerkna'	75.18265565	0.293837357	0.964537369	6.827567287	0.709685803	0.143669863	0.257739402	0.090244889	15.53006238
'Halichoerus_grypus'	6.988236406	0.003779468	0.011338404	29.96267775	0.107714839	0	0.029290877	0	62.89696225
'Phoca_vitulina'	1.109723203	0	0	97.38047394	0.646282518	0	0.836365611	0	0.027154728
'Mesoplodon_bidens'	14.50505637	0	0	85.48966282	0	0	0.005280807	0	0
'Lagenorhynchus_albirostris'	35.30928646	0	0	39.15531935	0.007861882	0	0.007075694	0	25.52045662
'Bufo_viridis'	19.31751977	0	0	76.50436954	1.339991677	0	2.122347066	0	0.715771952
'Rana_dalmatina'	67.10632397	0	0	29.22699861	0.902963656	0.009674611	2.637943823	0.080621755	0.035473572
'Odocoileus_virginianus'	0.340446604	0.085111651	3.195555624	62.84799059	0.580306711	0	32.86392968	0.086659136	0
'Philander_opossum'	0.626761323	0	0.006159816	11.49575743	0.032339036	0.227913208	87.60028951	0.006159816	0.004619862
'Heteromys_desmarestianus'	1.150219038	0	0.017264076	44.16366344	0.142428624	0.574030514	53.93297223	0.019422085	0
'Martes_martes'	71.04978355	0	0	27.23214286	0.027056277	0	0.040584416	0	1.6504329
'Spermophilus_citellus'	0.334999144	0	0.673188757	82.06550901	0.865777009	0.008121191	15.21099145	0.825751138	0.015662298
'Crocodylus_moreletii'	2.865472222	0	0.003320362	40.28926992	0.005976651	0.001992217	21.96352915	0	34.87043948
'Acrocephalus_scirpaceus'	1.592347807	0	0.008366101	95.4655735	2.493097967	0	0.231462116	0.019520901	0.189631613
'Papio_ursinus'	0.670723462	0	0.995943205	86.24408384	0.06423259	0.181203516	10.82555781	1.014198783	0.004056795
'Crocodylus_niloticus'	35.05769231	0.003205128	0.13034188	53.85897436	0.132478632	0.05982906	3.428418803	0.045940171	7.283119658
'Aepyceros_melampus'	1.13276766	0.080662675	0.22298576	95.79739708	0.265256104	0.029860702	2.363261254	0.101603946	0.006204821
'Panthera_pardus'	0.636783618	0	0	83.62592084	3.485245765	0	2.351521205	0	9.900528572
'Chlorocebus_pygerythrus'	6.673651603	0	0.989887026	80.86279155	0.808582362	0.251913265	9.618713557	0.790816327	0.003644315
'Ceratotherium_simum'	0.184916832	0.077789533	6.100477405	55.86621978	0.260483806	0.150689438	37.26207516	0.085790742	0.011557302
'Giraffa_camelopardalis'	2.322824072	0.045853831	0.762920409	71.16951288	0.161580167	0.434082934	24.48048701	0.615969798	0.006768899
'Syncerus_caffer'	0.674466816	0	0.035498253	83.01550564	0.048277625	0.077386193	16.14673558	0.002129895	0
'Hippopotamus_amphibius'	1.53423234	0	0.072674163	91.73761467	0.296665063	0.004212995	6.32370547	0.007021658	0.023873638
'Equus_quagga'	2.580460377	0.049143012	4.43070986	72.14676576	0.631924868	0.175166197	19.29692329	0.688906643	0
'Procyon_lotor'	12.2979587	0	0.001909992	72.38677331	0.069714695	0	1.491703474	0	13.75193984
'Camelus_bactrianus'	0.631274285	0.099135131	12.13892592	56.57653346	0.053555761	0.999327704	28.50192003	0.999327704	0
'Calidris_alpina'	7.848894108	0.019573302	0.029359953	58.11313369	0.107653161	0.156586416	0.714425524	0.068506557	32.94186729
'Canis_lupus'	1.132941236	0.002028089	0.001014045	72.69076712	1.989808853	0	14.55331339	0	9.630127263
'Eliomys_quercinus'	0.253100481	0	0	99.40470767	0.319919008	0	0.009111617	0	0.013161225
'Glis_glis'	64.17073356	0.011956132	0.004347684	34.50974425	0.10108366	0	1.170614002	0	0.031520711
'Vipera_ursinii'	52.31560037	0.014010355	0.521185214	22.82753875	0.249384323	0.569754445	22.55791725	0.14975513	0.794854152
'Sciurus_vulgaris'	0.776556777	0	0	34.1978022	0.117216117	0.043956044	64.86446886	0	0
'Bufo_bufo'	12.47933364	0.023361967	10.0097042	50.48880423	0.388168062	2.842522374	23.66926643	0	0.09883909
